School,Area,Date,Staff Count,Student Count,DateTime,Staff Close Contacts,Student Close Contacts
Berkeley Elementary,,2/9/2022,1,3,2022-02-09 05:30:05,0,20
Berkeley High School,,2/9/2022,1,11,2022-02-09 05:30:05,0,26
Berkeley Intermediate,,2/9/2022,0,1,2022-02-09 05:30:05,0,4
Berkeley Middle,,2/9/2022,0,2,2022-02-09 05:30:05,0,10
Berkeley Middle College,,2/9/2022,0,0,2022-02-09 05:30:05,0,0
Bonner Elementary,,2/9/2022,3,11,2022-02-09 05:30:05,3,11
Boulder Bluff Elementary,,2/9/2022,1,0,2022-02-09 05:30:05,1,3
Bowens Corner Elementary,,2/9/2022,0,2,2022-02-09 05:30:05,0,11
Cainhoy Elementary,,2/9/2022,0,0,2022-02-09 05:30:05,0,0
Cane Bay Elementary,,2/9/2022,0,12,2022-02-09 05:30:05,0,58
Cane Bay High,,2/9/2022,3,12,2022-02-09 05:30:05,1,55
Cane Bay Middle,,2/9/2022,2,8,2022-02-09 05:30:05,0,27
College Park Elementary,,2/9/2022,0,4,2022-02-09 05:30:05,0,7
College Park Middle,,2/9/2022,0,1,2022-02-09 05:30:05,0,7
Cross Elementary,,2/9/2022,0,0,2022-02-09 05:30:05,0,0
Cross High,,2/9/2022,0,0,2022-02-09 05:30:05,0,2
Daniel Island School,,2/9/2022,0,2,2022-02-09 05:30:05,0,3
Devon Forest Elementary,,2/9/2022,1,3,2022-02-09 05:30:05,1,11
Fishburne Campus,,2/9/2022,0,0,2022-02-09 05:30:05,0,0
Foxbank Elementary,,2/9/2022,1,9,2022-02-09 05:30:05,0,20
Goose Creek Elementary,,2/9/2022,0,4,2022-02-09 05:30:05,0,3
Goose Creek High,,2/9/2022,1,4,2022-02-09 05:30:05,0,4
Hanahan Elementary,,2/9/2022,0,4,2022-02-09 05:30:05,0,4
Hanahan High,,2/9/2022,0,0,2022-02-09 05:30:05,0,0
Hanahan Middle,,2/9/2022,0,7,2022-02-09 05:30:05,0,8
Howe Hall Aims,,2/9/2022,0,1,2022-02-09 05:30:05,0,5
Jk Goudin Elementary,,2/9/2022,0,0,2022-02-09 05:30:05,0,0
Macedonia Middle,,2/9/2022,0,4,2022-02-09 05:30:05,0,22
Marrington Elementary,,2/9/2022,0,3,2022-02-09 05:30:05,1,18
Marrington Middle,,2/9/2022,0,4,2022-02-09 05:30:05,0,2
Mt Holly Elementary,,2/9/2022,1,1,2022-02-09 05:30:05,1,3
Nexton Elementary,,2/9/2022,1,6,2022-02-09 05:30:05,0,15
Philip Simmons Elementary,,2/9/2022,0,8,2022-02-09 05:30:05,0,27
Philip Simmons High,,2/9/2022,0,1,2022-02-09 05:30:05,0,5
Philip Simmons Middle,,2/9/2022,0,2,2022-02-09 05:30:05,0,7
Sangaree Elementary,,2/9/2022,1,0,2022-02-09 05:30:05,0,18
Sangaree Intermediate,,2/9/2022,0,0,2022-02-09 05:30:05,0,1
